,Headline,Body text
52,Biden Wondering Where All This Support Was When He Still Had Functioning Brain,"WILMINGTON, DE'As the moderate wing of the Democratic Party consolidated its backing around his candidacy, former Vice President Joe Biden reportedly wondered Thursday where all this support was back when he still had a functioning brain. 'Here's the deal: I'm flattered that everyone's voting for me and the big Democratic donors are giving me a lot of money, but look, I used to have a general idea of what was happening, and it would've been nice if they'd shown me that kind of support back then,' said the former vice president, trailing off and staring blankly for a moment before telling reporters that he didn't win a single state when he ran for the party's nomination in either 1988 or 2008, when he would have been physically and cognitively prepared for the demands of running in a general election. 'I've been pandering to people and compromising progressive goals for decades, and now you're just throwing all this campaign support and money behind me? I was lucid for 70 years! I honestly can't figure you people out. Why are you just now saying Joe Biden should be president when I can't hold a train of thought for longer than 10 seconds or talk to anyone on the campaign trail without getting agitated and sticking my finger in their face? What is your deal?' Sources confirmed that Biden also wondered why the Democrats were supporting him now that he wouldn't be the only candidate in clear mental decline with a history of reactionary policies in the race."
53,Sanders Supporter Urges Importance Of Listening To Minority Voices Just Not Specifically The Ones Who Handed Victory To Biden,"DETROIT'Stressing the need for inclusivity and intersectionality in the 2020 Democratic primaries, local Bernie Sanders supporter Kevin Randall took to Facebook Wednesday to stress the importance of listening to minority voices, just not any of the ones that have handed victory to Joe Biden. 'We need to make clear that, with the exception of those who showed up in droves to vote for Biden in South Carolina and on Super Tuesday, our movement has room for all people of color,' wrote Randall, who explained that it's important to avoid becoming siloed within one's own narrow worldview and to empathize with Americans from every background who did not just make Biden the new frontrunner last night. 'Marginalized groups are being shut out of these conversations, so we need to take a moment to hear what, in particular, 18-to-35-year-old, college-educated, progressive black and Latino voters from western states have to say. They, along with the tiny minority of working-class citizens in disenfranchised minority communities who object to the moderate platform of Joe Biden, should not be made to feel invisible in our democracy.' Randall later added that it was also important to listen to older Jewish people, except for the ones who cast ballots for Mike Bloomberg."
54,,
55,Frustrated Bloomberg Staffer Literally Just Aborted Fetus For This Job,"NEW YORK'Expressing her displeasure about the unfortunate timing of her boss dropping out of the presidential primary, Bloomberg staffer Eliza Wilkonson was reportedly frustrated Wednesday that she had literally just aborted a fetus for this job. 'God damn it, I wish Mike could have given me a little heads up,' said Wilkonson, confirming her annoyance at having received the news about the former New York mayor suspending his campaign mere minutes after she returned to her office from the abortion clinic. 'He'd been dropping hints for weeks about how hard it would be for me to give this job my all if I was distracted with a child, so it would have been nice if he had thought to contact me about his plans before I went to all this trouble. It sucks too because I had been really looking forward to having this kid.' Wilkonson added that she felt especially aggravated knowing that she wouldn't be able to vent about her situation due to the non-disclosure agreements she'd been forced to sign."
56,Biden Says Incredible Comeback Proves He Can Beat Progressive Democrat In A General Election,"LOS ANGELES'Touting his Super Tuesday victories as evidence that he would stand strong in the face of any real change, Joe Biden announced Wednesday that his incredible electoral comeback proves he can beat a progressive Democrat in the general election. 'Democratic voters have spoken, they know that when it comes to the presidential election, I would be by far the most likely candidate to defeat Bernie Sanders,' said Biden, who cited his strength among a wide variety of demographic groups as proof he was the unity figure the party needs to fight back against the Democratic Socialists they would be facing in November. 'People know this election is the most important of our lifetime, and we need to nominate someone who can stop progressive policies in their tracks. In fact, if we harness that energy, I have no doubt we can deliver a resounding defeat to the entire Democratic party.' Biden ended his victory speech by claiming that if this momentum continued, the Democrats could be celebrating their biggest victory over their opponents ever at July's convention."
57,Last-Minute Change To Super Tuesday Primary Rules Requires All 14 States To Vote At Same Polling Place,"CLARKSVILLE, AR'In an effort to reduce confusion and improve transparency, Democratic National Committee officials confirmed that last-minute changes to the Super Tuesday primary rules would require all 14 states to vote at the same polling place. 'We want to consolidate the process and cut down on red tape, so Democratic voters casting ballots in any of today's 14 primary races need to report to Pyron Elementary in Clarksville, AR before polls close at 7:30 p.m.,' said DNC chair Tom Perez, adding that voters from Alabama, Arkansas, California, Colorado, Maine, Massachusetts, Minnesota, North Carolina, Oklahoma, Tennessee, Texas, Utah, Vermont, and Virginia should check in at the table inside the auditorium, accessible from the school's north entrance, while those from American Samoa would be caucusing in the gym. 'Clarksville is centrally located in the middle of the country, which we hope most people will find convenient. We expect the line to stretch a good 20-30 miles long, but once you reach the voting booth, you'll be in and out'bang'in about 10 minutes. We encourage everyone to be patient, and I recommend bringing enough food and water to last several days. A folding chair probably wouldn't be a bad idea, either.' At press time, volunteers manning the Clarksville location confirmed that only two of the five voting machines were currently working."
58,Biden Confident After Spending Super Tuesday Stumping Across Iowa,"DES MOINES, IA'Expressing optimism about how the upcoming electoral contest would play out, presidential candidate Joe Biden was reportedly feeling confident about his chances this week after spending Super Tuesday stumping across Iowa. 'I've spent the last 24 hours crisscrossing the state to get people excited about the Biden campaign, and tonight all that hard work pays off,' said the former vice president, recalling the dozens of stops he'd made in towns like Dubuque and Mason City to hold rallies in school gyms and rec centers to urge Iowans to vote. 'I'm feeling really good about our chances here, especially since it seems like a lot of my rivals have completely given up on the state. You'd be amazed how shocked Hawkeyes are when they see me stopping into their local diner, and I think we're going to be able to translate that excitement into big numbers at the polls.' Biden added that he was hopeful his momentum from Iowa would propel him to a knock-out victory in New Hampshire."
59,"I'm Proud To Endorse Biden And So Are All Of You,' Announces Pipe-Waving Amy Klobuchar",
60,"Buttigieg Drops Out Of Democratic Race After Slamming Own Plan To Be President As 'Naive, Unrealistic Pipe Dream'","SOUTH BEND, IN'Insisting that he was only selling false hope and dividing the Democratic party, Pete Buttigieg dropped out of the 2020 race this week after slamming his own plan to be president as a naive and unrealistic pipe dream. 'To run for president and sell these unworkable ideas of unity when I have no plans for actually achieving them is unfair to the American people,' said Buttigieg, who attacked his campaign as inflexible and alienating to anyone who did not agree with his narrow worldview of what the Democratic party should be. 'For me to step on stage and sell myself as president of the United States is just absurd. This election is too important for Americans to take a risk on this fantasy of a small city mayor who could magically transform politics. The disingenuous, ego-driven promises, soaring rhetoric, and lack of results are why people have grown sick of Washington, and why I should drop out of the presidential race.' At press time, Buttigieg had declined to endorse another candidate, noting that suggesting Democrats had any chance of winning in November would just be another empty promise."
61,Damning New Footage Shows Sanders In 1980s Arguing Madonna Could Never Make Transition From Music To Film,"NEW YORK'In a video from late 1984 that was circulating online Friday and could severely damage his bid for the presidency, Bernie Sanders can be heard openly questioning whether Madonna was likely to succeed in the transition from making records to acting in major motion pictures. 'Look, she's an undeniable pop sensation with a promising string of top-20 hits to her credit, but let me tell you something: There's no guarantee that kind of talent is going to translate to the silver screen,' Sanders, then mayor of Burlington, VT, says in a local public-access broadcast in which he clearly exhibits short-sightedness in his failure to anticipate the undeniable success the Material Girl would achieve in box-office smashes such as A League Of Their Own and Evita. 'Madonna should stick to music. People love this Like A Virgin album, it's a lot of fun to dance to, and she needs to build on its success. Taking time away from that to focus on what are sure to be small, insubstantial roles in lackluster films? That's career suicide.' Reminded by reporters that Madonna had won acclaim for her role in Desperately Seeking Susan just a few months after his videotaped remarks, a visibly angry Sanders argued that Rosanna Arquette had carried that entire film and anyone who said otherwise didn't know 'a goddamn thing' about acting."
62,Trump Claims Responsibility For Longest Black History Month In 4 Years,
63,"Warren Tells Supporters To Cut That Pinterest Shit Out, This Is Serious","CAMBRIDGE, MA'Fed-up presidential hopeful Elizabeth Warren publicly told her supporters Friday to 'Cut that Pinterest shit out,' reminding them that her candidacy was a serious bid to become 'the commander in chief of the goddamn United States and should be treated as such.' 'I'm running a legitimate campaign for the highest fucking office in the nation, carrying on the legacy of brave historical women who stood up to oppression and spoke truth to power, I'm not an excuse for you to create a lame-ass 'TeamWarren'-branded Etsy account,' said the Massachusetts senator sternly, adding that she was an 'actual human woman with legislative experience, not an adult Hermione motherfucking Granger.' 'Oh, you stitched 'Nevertheless she persisted' onto another damn pillow for your Instagram? Cute. By the way, have you ever heard of canvassing, or is the 'pussy hat' you wasted crucial primary outreach hours crocheting too snug around your ears? And, while we're on this, where are the profits from that deluge of enamel pins going? Certainly not to my campaign, last I checked.' At press time, Warren had punched through the glass of a framed poster featuring her head photoshopped onto Wonder Woman's body that her 'so-called supporters' had mailed to her campaign headquarters."
64,Obama Kind Of Hurt No One's Even Asked For His Endorsement,"WASHINGTON'Noting that he would happily lend his support to any candidate who just requested it, former President Barack Obama told reporters Friday he was kind of hurt no one in the 2020 Democratic field has even asked for his endorsement. 'Look, I don't want to toot my own horn here, but I'm a two-term president with significant pull among Democratic voters and I can't help but feel a little bummed that no campaign has even raised the question of whether I'd consider endorsing them,' said the 44th commander in chief, stressing that he would happily express his full-throated approval for Amy Klobuchar, Elizabeth Warren, Bernie Sanders or any of the race's other candidates if they had even so much as broached the topic with him during recent in-person conversations, email chains, and phone calls. 'Especially Joe. I mean, I worked with the guy for eight years, and he hasn't even reached out to test the waters. I'm not trying to overstate my significance, but it's not crazy to think my vouching for what he did as vice president could really change the way this race shakes out, right? I mean, what the hell? I feel like a forgotten man over here.' At press time, the former president had sighed and started drafting an enthusiastic endorsement of Tulsi Gabbard after receiving a request from one of the representative's assistants."
65,I'll Show Those Pricks!' Screams Mitt Romney Driving Busload Of Pregnant Women To Abortion Clinic After Being Disinvited To CPAC,"SALT LAKE CITY'Following the formal public announcement that he was no longer invited to the annual Conservative Public Action Conference, Senator Mitt Romney (R-UT) reportedly screamed, 'I'll show those pricks!' Thursday while driving a busload of pregnant women to an abortion clinic. 'They called me liberal, I'll show them liberal'did you hear that, ladies, we're all getting abortions!' shouted Romney, who shifted the bus carrying 48 women into high gear before careening wildly into the clinic's lot and parking the vehicle diagonally across multiple spaces. 'Out, out, everybody out! Sheila, Jen, hush that crying. I don't care what term you're on, I've got a score to settle. Did you hear what those assholes did to me? Get whatever you want back there because everything's on me!' At press time, Romney had driven the bus to a nearby obstretician's office and was waving a fistful of cash in the waiting room, offering $5,000 to anyone who would get an abortion."
66,Whatavirus?' Says Half-Naked Mike Pence Brushing Crumbs Off Stomach While Taking First Call From Trump In 18 Months,"WASHINGTON'As he bolted upright on the couch where he lay beneath a pile of empty Fig Newton wrappers Thursday, Vice President Mike Pence reportedly took his first phone call from President Trump in 18 months, mumbling, 'Whatavirus?' while he brushed crumbs off his bare stomach and chest. 'No'I'm awake, I'm awake'was actually just in the middle of a big important meeting here,' Pence said as he frantically rummaged in the couch cushions for the remote to mute the 700 Club rerun blaring from the television in the den of his official residence at Number One Observatory Circle. 'Corona what now? And it's some kind of plague going around? You bet, Mr. President, I'd be happy to help. And this press conference at the White House'do I need to wear a suit? Ha, of course, of course. Just kidding. I'll be there in'uh, shoot, I have a plate of pizza rolls in the microwave, but I tell you what, I'll just take those to-go!' At press time, sources confirmed a disoriented Pence had been seen darting from room to room in search of a clean shirt before finally pulling a rumpled one from his hamper and sprinting out the door."
67,"I Like This Candidate Now And Will Vote For Him,' Says Area Man After Having To Watch 12th Bloomberg Ad In Single Day","LEWISTON, ME'Announcing his newfound support for the former New York mayor, local Democratic voter Lucas Butterfield calmly stated, 'I like this candidate now and will vote for him,' after seeing a Mike Bloomberg ad for the 12th time in a single day, sources confirmed Thursday. 'The ninth ad didn't really convince me, and I was on the fence for the 10th and 11th, but once I had seen my 12th commercial since waking up this morning, I suddenly realized Mike is the candidate for me,' said Butterfield, who explained that he had initially opposed the former Republican's candidacy, but after the day's encounter with a dozen print, TV, radio, billboard, and autoplaying digital ads, it now seemed obvious to him that Bloomberg was 'the only man for the job.' 'I like Mike. Mike is my candidate of choice. I will go to the polls and cast my ballot for Mike, and I will tell all my friends to vote for Mike too. I support Mike Bloomberg for president in 2020. Only Mike can get it done.' At press time, sources confirmed the man was speaking Bloomberg's name over and over again with increasing urgency while he repeatedly walked into a wall."
68,Pete Buttigieg Pivots From Mimicking Obama To Mimicking Sanders In Attempt To Gain Ground,
69,Candidates Struggle To Answer Question About Future Of Granite Countertops During HGTV Town Hall,"CHARLESTON, SC'Clearly uncomfortable being asked to express their views on such a contentious issue, the 2020 Democratic presidential candidates struggled Wednesday to answer questions about the future of granite countertops during a series of HGTV town halls. 'As president, what are you going to do to address the fact that wages are stagnating to the point where the vast majority of Americans can't afford the granite countertops and backsplash tiles they desperately need to fix up their homes?' asked Jonathan Scott, who was moderating the HGTV town hall with his Property Brothers co-host Drew Scott, interrupting candidate Pete Buttigieg's stammering response to note that a majority of voters doubted the former South Bend, IN mayor could effectively unify angry members of the nation's polarized homeowners associations behind a common lawn care policy. 'How do you plan to address the millions of Americans making do with laminate countertops, or who are forced to live in homes where there's a lack of natural sunlight in the kitchen? Will you commit today to providing the support for all Americans to knock down a wall and open up the floor plan of their common areas? Many people out there are wondering whether their future will include a brick patio or detached deck, or whether they'll ever even be able to live in a place that is perfect for entertaining. How do you respond?' At press time, Senator Amy Klobuchar was being booed by the HGTV town hall audience after she doubled down on controversial previous statements criticizing crown molding. "
70,,
71,Sanders Supporter Sick Of Movement Being Defined By Small Number Of Toxic Members Like Him,"DENVER, CO'Stressing that his angry rants and unhinged perceptions of the world in no way represented the Vermont senator's broad coalition of supporters, 27-year-old Adam Patterson told reporters Wednesday that he was sick and tired of the Sanders movement being defined by a small number of toxic members like himself. 'Honestly, I'm just fed up with the mainstream media taking a tiny sample of aggressive and borderline unhinged Bernie supporters like me and suggesting that we somehow represent the millions of completely normal Bernie voters out there,' said Patterson, stressing that the condescending way that he insisted anyone who slightly critiqued Sanders or his plans was a neoliberal shill, white supremacist, or supporter of war criminals did not at all reflect Sanders' largely issues-oriented campaign. 'Look, clearly I'm a lunatic who has lost all touch with reality or historical context. I mean, I've repeatedly argued I'd rather live in Venezuela under Nicolas Maduro than the totalitarian state of America. That's crazy. And, frankly, I'm sure if Bernie saw me going online and telling women they were fucking corporatist bitches for supporting Warren, he would condemn it, because it distracts from his generally positive message. But I'm just one person. Should the media get to cast all Bernie supporters in a negative light just because of a few complete and utter assholes like me?' At press time, Patterson had decided that the best solution to the mischaracterization was to tell a female journalist who wrote about Bernie Sanders' history of praising left-wing dictatorships to get ovarian cancer and die."
72,Trump Holds Diplomatic Ceremony To Formally Welcome Coronavirus To United States,"WASHINGTON'Declaring that he was looking forward to showing the influential global entity around the country, President Donald Trump held a diplomatic ceremony Wednesday to formally welcome the coronavirus to the United States. 'This is a historic day for America, and I hope that the coronavirus will appreciate our efforts to give it a warm reception and work with us to build a thriving, mutually beneficial relationship,' said the president, announcing that Covid-19 would join him on the White House South Lawn for the presentation of an American flag accompanied by a military brass band, before a meeting with high-ranking administration officials and leaders from the business community in the Oval Office. 'We have a full itinerary planned over the next few days in which will tour a variety of Washington cultural sites, newly built manufacturing facilities, and even the state-of-the-art Johns Hopkins Hospital, so the coronavirus can observe firsthand the best of American pride and ingenuity. We are excited to develop a stronger bond with such an influential force in the international community, and we hope that a strong partnership with the coronavirus could lead to further diplomatic relations with H1N1, SARS, and other prominent global viruses.' At press time, a Trump administration spokesperson announced a change to the diplomatic itinerary after the coronavirus had expressed an interest in touring the CDC director's lungs."
73,"Tell Me About It, Stud,' Says Pleather-Clad Elizabeth Warren On Debate Stage In Effort To Court Bad Boy Demographic",
74,Moderators Kick Off Debate By Asking Whether Bloomberg Ready To Get Shit Rocked Again,"CHARLESTON, SC'As the televised event featuring the leading contenders for the Democratic Party presidential nomination got underway Tuesday evening, CBS moderators kicked off the debate by asking whether Michael Bloomberg was ready to get his shit rocked again. 'Our first question is for Mayor Bloomberg: How will you respond to another two hours of the other nominees just completely wrecking your shit?' said CBS This Morning co-host Gayle King, citing the fact that the billionaire former New York City mayor had spent the debate six days earlier 'getting absolutely bodied' and wondered whether he had a plan to prevent 'a complete and total roasting' from happening again. 'Mr. Bloomberg, do you believe that you prepared this time, and is it going to be enough? Because from where we're sitting, you got ripped a new one last debate, and now you're about to be hit from every side. Honestly, after seeing how easy it was last time, we wouldn't be surprised if the other candidates are even better prepared to tear you apart. Tonight, the whole country is watching to see if you have any plan to avoid getting fucking hammered again. You ready?' Sources confirmed that fellow CBS moderator Norah O'Donnell then interjected and told Bloomberg that they would give him 30 seconds to run off the stage if he still wanted to save himself before it started."
75,Klobuchar Hoping To Distinguish Herself During Debate As Only Candidate Not Sucker Punched In Gut Moments Before Stepping On Stage,"CHARLESTON, SC'Stressing that the contrast between herself and her rivals could not be starker, presidential candidate Amy Klobuchar told viewers at Tuesday night's Democratic debate that she remained the only candidate who had not been sucker punched in the gut moments before stepping on stage. 'Tonight, I'm asking voters to really think about the distinct choice they're being offered between a heartland Democrat with a record of serious accomplishments and six other candidates who have spent this entire debate doubled over and collapsing in front of their podiums or wheezing for air,' said the Minnesota senator, pointing to her distinguished record of not getting absolutely clocked in the moments before a national television appearance before gesturing across the stage at a whimpering Bernie Sanders clutching his stomach as he rolled around in agony. 'Ask yourself, if Elizabeth Warren wasn't prepared to get slugged right in the breadbasket as she stepped into the spotlight, then do you really think she'll be ready for the presidency? Now you've seen what my fists are capable of this evening, and if you're ready for a different type of candidate'one who isn't whimpering and begging for mercy'then I promise you a place with me.' At press time, Klobuchar had torn into Michael Bloomberg's supposedly tough-on-crime record as the dry heaving former New York City mayor began to retch onto the debate floor."
76,Elena Kagan Worried She's A Fraud After Being Only Female Justice Not Called Out By Trump,"WASHINGTON'Expressing doubt over whether she deserved of all her accolades, Supreme Court Associate Justice Elena Kagan was reportedly worried Tuesday that she was a fraud after being the only female justice not called out by President Donald Trump for being biased against him. 'Has my career meant nothing? I feel so invisible,' said Kagan, gazing at her reflection in a mirror and questioning what it was her fellow female justices have that she herself lacks. 'I mean, I was solicitor general as well as dean of Harvard Law School and I thought that was impressive, but does that even really mean anything if the president isn't calling on me to recuse myself from cases involving him? This man should hate me, yet he hasn't said a word about me voting against his wealth test for immigrants, or any of my other rulings. Am I just a big phony?' At press time, Kagan was trying to comfort herself by considering that a mistaken Trump might think she was actually a Bush appointee."
77,,
78,Trump In India Hails Blossoming Relations Between The 2 Planets,"AHMEDABAD, INDIA'Representing the United States during a diplomatic visit to India, President Donald Trump hailed the blossoming relations between the two planets during a rally Monday at the 110,000-seat Motera Stadium. 'Although we may come from different worlds, and our civilizations are separated by millions of lightyears, the bonds we share are still incredibly powerful,' said Trump, who marveled aloud at the strange vegetation and peculiar culture of the foreign planet, remarking to aides that the inhabitants of India were 'a lot like us,' despite their extraterrestrial origin. 'When I landed here in my flying craft after a long journey at warp speed through multiple galaxies, your entire planet came out into the streets to welcome me as if I were a member of your own species. That's something I'll never forget. May our two countries continue to exist in interplanetary harmony, sending a message of peace to the rest of the universe.' Trump later complimented Indian prime minister Narendra Modi's efforts to combat the intergalactic Muslim threat that puts their shared star system in danger."
79,Embarrassed Heart Surgeon Admits He May Have Accidentally Left Sanders' Medical Records In Candidate's Chest,"LAS VEGAS'Acknowledging the blunder following public pressure that his patient release the confidential documents, embarrassed heart surgeon Dr. Michael Sharrer admitted to reporters Monday that he may have accidentally left Bernie Sanders' medical records in the candidate's chest. 'Honestly, I just set them down for a second, and before I knew it he was all closed up,' said Sharrer, who speculated that he must have misplaced the Vermont senator's health records inside Sanders' thoracic cavity while performing the stent procedure with the scalpel in one hand and the files in the other back in October. 'It was a manila folder filled with all kinds of test results and charts. It probably got tucked behind the rib cage. I really should have been more careful considering that was our only copy. We could try an X-ray, but they might be difficult to read because they're probably all bloody. Man, we should really switch to digital records.' At press time, Sanders' critics were calling upon the presidential candidate to cut open his chest to release the records."
80,"Trump Administration Rolls Back Hunting Regulations Forbidding Use Of Chokeholds, Eye Gouging On Birds","WASHINGTON'In a legal measure that will greatly expand the options available to American sportsmen, the Trump administration announced Thursday that it would repeal legacy regulations forbidding the use of controversial chokeholds and eye-gouging when hunting game birds. 'Although animal rights activists have long decried placing grouse in sleeper holds, piledriving pheasants, and headbutting doves, we recognize that these inarguably effective moves have a long tradition among wingshooters,' said President Donald Trump in a press conference, adding that no less a man than Theodore Roosevelt had thought nothing of roundhouse kicking a brace of ducks for his dinner. 'They call the move the 'Crossface Chicken Wing' for a reason. Furthermore, banning the use of the common folding chair as an implement for slamming birds across the head is a holdover from the days of ignorant environmentalists who don't respect traditional hunting. True woodsmen know that respecting nature often means wrapping barbed wire around your fist to pummel a Canada goose or digging your thumbs into the eyes of a woodcock, and that there isn't a hunter alive who wouldn't curb stomp a wild turkey.' President Trump then posed for photographs while repeatedly smashing a quail beak-first into one of the White House's marble columns."
81,Experts Concerned Pale Russian Mystic Constantly At Trump's Side May Attempt To Influence 2020 Election,"WASHINGTON'Increasingly troubled about the role the self-proclaimed visionary and healer might play in the presidential race, intelligence experts expressed concerns Friday that Volokov Molchalin, the pale Russian mystic constantly at President Donald Trump's side, may attempt to influence the 2020 election. 'While we're unsure exactly what Volokov is whispering into Trump's ear'or if it's a known language at all'it's the consensus of the intelligence community that he likely intends to meddle in the upcoming election, perhaps by using his self-professed hypnotic powers to sway the American public,' said National Intelligence Director Joseph Maguire, noting that the long-bearded Eastern Orthodox prophet had enjoyed unprecedented access to the Oval Office since laying his hands on the president's thigh in early June and allegedly curing him of an internal hemorrhage. 'What's more unsettling is that Volokov has only grown more brazen in his attempts to alter the president's behavior, encouraging Trump to purify himself by self-flagellating, filling the West Wing with frankincense, or repeating occult incantations until his eyes roll back in a mystical trance. We've also received reports that Volokov can read minds, which would obviously make any counterintelligence efforts difficult, if not impossible.' At press time, terrified officials had escalated their warnings after a failed assassination attempt in which repeated stabbings, a gunshot wound to the head, and an apparent drowning in the freezing Potomac River failed to end the Russian mystic's life."
82,Bloomberg Housekeepers Brace For Another Day Of Dressing Up Like DNC Candidates And Letting Boss Beat Them In Debate,"NEW YORK'Standing behind podiums scattered around the living room, Mike Bloomberg's housekeepers braced for another day of dressing up like DNC candidates and letting their boss beat them in a debate, sources confirmed Thursday. 'I'm supposed to be polishing the silver today, but instead I have to wear a stupid white wig and let Mr. Bloomberg attack the feasibility of my Medicare-for-all plan,' said maid Flora Bishop, who feared the 15-person housekeeping staff would be unable to complete their daily cleaning tasks as their boss forced them to restart the debate yet again after fumbling a question about prison reform. 'We basically just stand around and let him tear our policies apart until he feels like he's won. Usually, I'll just say something about how all my ideas are bad compared to his so I can get back to the laundry. I feel terrible for the landscaper who played Buttigieg last time. Mr. Bloomberg fired him after he made a really good point about trying to buy the election.' At press time, the housekeepers were frantically motioning for the chauffeur, who was acting as moderator, to stop pressing their boss on stop-and-frisk policing tactics."
83,,
84,Biden Begging Donors To Stop Sending Money So He Can Quit Race,"WASHINGTON'Imploring his supporters to relieve him of his obligations on the campaign trail, former vice president and current presidential candidate Joe Biden reportedly begged his donors Thursday to stop sending him money so he could quit the presidential race. 'Look, folks, we are at an important crossroads in our bid for the nomination, and I'm asking you from the bottom of my heart to please, please stop giving to my campaign so I can just end it already,' Biden wrote in an email sent to every individual, corporation, and political action committee that has contributed to his campaign, adding that with their generous help, they could help put him out of his misery at this 'crucial juncture' right before the Nevada caucus. 'I'm going to be honest with you. We're being outpaced in fundraising by the other campaigns, and that is great, because I am very, very tired and ready to admit defeat; so please, whether you have $1 or $100 to spare, don't send either. I know I can count on you to support me as I head back into retirement and try to pretend none of this ever happened.' At press time, sources confirmed Biden began openly weeping when he received a $4 million surge in donations."
85,"Four Quarts Make A Gallon. The Frontal Lobe Controls Decision Making. The Ottoman Empire Dissolved In 1922,' Says Amy Klobuchar, Continuing To Name Trivia Facts Hours After Debate Ends",
86,Stephen Miller Spends Entire Honeymoon In Hotel Room Calling ICE On Cleaning Staff,
87,Increased Airtime Of Chantix Commercials Results In Ray Liotta Qualifying For Democratic Debate,"LAS VEGAS'In a powerful testament to the role television advertising still plays in driving national polls, increased airtime of commercials for tobacco cessation aid Chantix led to celebrity spokesperson Ray Liotta qualifying for Wednesday night's Democratic Debate. 'Chantix has made some especially aggressive ad purchases in recent months that helped spread the word about Ray Liotta and his struggle to find a stop-smoking aid that works for him,' said polling expert Kevin Michaels, stressing that the extensive television ad campaign familiarized Americans with Liotta as a 'father, actor, and ex-smoker' and directly led to the polling surge that secured his place on the debate stage. 'What these ads have done for key sections of the electorate is not only boost awareness of Liotta, but also expose voters to his difficulties to quit cold turkey before eventually finding a way to overcome his urge to smoke with Chantix. It's a message of hope that's clearly resonating with voters.' At press time, experts suggested the strategy may have backfired after Amy Klobuchar hammered Liotta for pushing a product that can cause changes in behavior, depressed mood, and nausea."
88,Chuck Todd Reminds Candidates That If They Want More Time To Speak There Are Melee Weapons Under Each Of Their Lecterns,
89,"I'll Rule You Peasants With An Iron Fist,' Says Bloomberg To Standing Ovation During DNC Debate","LAS VEGAS'In a demonstration of the high level of enthusiasm the former New York City mayor enjoys among the electorate, surging presidential candidate Michael Bloomberg was met with a standing ovation during the Democratic debate Wednesday as he promised to 'rule you peasants with an iron fist.' 'Kneel before me and tremble, you piteous wretches, for I am your new sovereign ruler and my will is infallible,' said Bloomberg, cutting into his rivals' speaking time as his pledge to 'vanquish my enemies and reward my supplicants' was met with thunderous applause by thousands of assembled audience members. 'You peons, you mean as little to me as a clump of dirt to a mighty mountain, and I'll step on the necks of every last one of you on my quest for greater and greater power. Gaze upon your new God and fear my capricious wrath.' At press time, the audience had broken out into chants of 'Bloomberg! Bloomberg!' as armed guards emerged from the exits to indiscriminately beat them with batons."
90,Last-Second DNC Rule Change Requires Candidates Spend At Least $300 Million Of Own Fortune To Make Debate Stage,
91,Panicking Aides Finally Locate Biden At Wrong Venue Following Cirque Du Soleil Performers Onstage,"LAS VEGAS'After frantically searching for the former vice president in the hours leading up to Wednesday night's debate, panicked campaign aides reportedly located Joe Biden at Las Vegas' Treasure Island Hotel, where the candidate appeared to have followed a Cirque du Soleil troupe onstage. 'There he is, up there'those circus clowns are tossing him back and forth,' said visibly relieved senior adviser Anita Dunn, waving her arms at the seven-term former U.S. senator, who was attempting to make an impassioned speech about his legislative record despite being severely entangled in aerial silks and dangling 50 feet in the air. 'Even if we got him down from there right now, we still wouldn't make it to the debate venue on time, and he does seem to be shouting his most important talking points at the guys playing those big Japanese drums and the two musclemen flying around on bungees. To be honest, I haven't seen him looking this coherent in a long time. Why don't we just let the vice president have a nice night for once?' At press time, Biden was overheard berating a unicycle rider he 'didn't like the looks of' from the confines of a large, whimsical birdcage."
92,"I Love My Wife Marcia And 2 Beautiful Kids, Tad And Hayden,' Says Buttigieg In Latest Campaign Shift","SOUTH BEND, IN'Quipping that if elected, he would be a father first and president second, Democratic candidate Pete Buttigieg told reporters Wednesday that he loved his 'wife Marcia and two beautiful kids, Tad and Hayden' in his latest campaign shift. 'First, I'd like to thank my incredible rock of 15 years, Marcia, and boys, why don't you come on up to the stage and give your pops a hug?' said the former mayor of South Bend, beckoning to his newly revamped campaign staff and inviting up a tall, slender woman with two suit-clad young boys who immediately sprinted over Buttigieg yelling 'Daddy, Daddy.' 'This beautiful, intelligent woman right here'she got me through law school, she got me through my mayoral races, and she's going to get us to the White House. And Tad and Hayden, thank you for coming here today. But you better get going'Daddy knows you have homework to do!' At press time, Buttigieg grabbed his wife and gave her a long kiss on the lips before shrugging and telling the crowd, 'Happy wife, happy life!'"
93,Rod Blagojevich Somehow Already Governor Of Illinois Again Minutes After Prison Release,
94,Trump Celebrates New Hospital Opening With Oxygen Tube-Cutting Ceremony,
